sectorName,symbol,name,announced,eligibility_date,distribution_date,distribution_way,dividend_per_share
Materials,2290,YANSAB,25/12/2022,07/03/2023,26/03/2023,تحويل للحساب,1.25
Materials,2290,YANSAB,05/06/2022,15/06/2022,29/06/2022,تحويل للحساب,1.5
Materials,2290,YANSAB,23/12/2021,23/03/2022,30/03/2022,تحويل للحساب,1.5
Materials,2290,YANSAB,17/06/2021,01/07/2021,13/07/2021,تحويل للحساب,1.5
Materials,2300,SPM,23/12/2012,26/03/2013,13/04/2013,تحويل للحساب,1.5
Materials,2300,SPM,20/12/2011,02/04/2012,16/04/2012,تحويل للحساب,1.75
Materials,2300,SPM,15/12/2010,26/03/2011,10/04/2011,تحويل للحساب,1.5
Materials,2300,SPM,23/02/2010,06/04/2010,01/05/2010,تحويل للحساب,1.25
Materials,2300,SPM,27/12/2008,02/04/2009,20/04/2009,تحويل للحساب,1
Materials,2310,SIPCHEM,22/06/2023,06/07/2023,19/07/2023,تحويل للحساب,1.25
Materials,2310,SIPCHEM,01/12/2022,05/12/2022,15/12/2022,تحويل للحساب,1.5
Materials,2310,SIPCHEM,29/06/2022,06/07/2022,26/07/2022,تحويل للحساب,1.75
Materials,2310,SIPCHEM,15/12/2021,20/12/2021,30/12/2021,تحويل للحساب,1.5
Materials,2310,SIPCHEM,23/06/2021,30/06/2021,14/07/2021,تحويل للحساب,0.75
Materials,2330,ADVANCED,21/02/2023,18/05/2023,28/05/2023,تحويل للحساب,0.55
Materials,2330,ADVANCED,28/09/2022,08/12/2022,18/12/2022,تحويل للحساب,0.55
Materials,2330,ADVANCED,06/07/2022,08/09/2022,18/09/2022,تحويل للحساب,0.55
Materials,2330,ADVANCED,29/03/2022,12/05/2022,22/05/2022,تحويل للحساب,0.55
Materials,2330,ADVANCED,22/12/2021,10/02/2022,20/02/2022,تحويل للحساب,0.65
Materials,3001,HCC,17/05/2023,06/06/2023,22/06/2023,تحويل للحساب,0.25
Materials,3001,HCC,14/12/2022,15/12/2022,26/12/2022,تحويل للحساب,0.25
Materials,3001,HCC,25/08/2022,31/08/2022,14/09/2022,تحويل للحساب,0.25
Materials,3001,HCC,05/12/2021,09/12/2021,23/12/2021,تحويل للحساب,0.5
Materials,3001,HCC,08/02/2021,22/03/2021,05/04/2021,تحويل للحساب,0.5
Materials,3002,NAJRAN CEMENT,12/03/2023,11/04/2023,04/05/2023,تحويل للحساب,0.25
Materials,3002,NAJRAN CEMENT,02/10/2022,06/10/2022,19/10/2022,تحويل للحساب,0.25
Materials,3002,NAJRAN CEMENT,16/03/2022,13/04/2022,24/04/2022,تحويل للحساب,0.25
Materials,3002,NAJRAN CEMENT,22/09/2021,03/10/2021,17/10/2021,تحويل للحساب,0.75
Materials,3002,NAJRAN CEMENT,28/02/2021,31/03/2021,13/04/2021,تحويل للحساب,0.75
Materials,3003,CITY CEMENT,19/03/2023,21/03/2023,04/04/2023,تحويل للحساب,0.5
Materials,3003,CITY CEMENT,08/09/2022,12/09/2022,26/09/2022,تحويل للحساب,0.4
Materials,3003,CITY CEMENT,10/03/2022,17/03/2022,30/03/2022,تحويل للحساب,0.5
Materials,3003,CITY CEMENT,12/08/2021,19/08/2021,02/09/2021,تحويل للحساب,0.75
Materials,3003,CITY CEMENT,28/02/2021,07/03/2021,21/03/2021,تحويل للحساب,0.5
